time,gFx,gFy,gFz,gFTotal
0.000,0.113,-0.493,-0.694,0.859
0.010,0.086,-0.450,-0.808,0.929
0.020,-0.002,-0.385,-0.908,0.986
0.030,-0.060,-0.364,-0.990,1.057
0.040,-0.029,-0.392,-1.028,1.101
0.050,-0.038,-0.416,-1.020,1.102
0.060,-0.092,-0.401,-1.007,1.087
0.070,-0.122,-0.395,-0.984,1.067
0.080,-0.124,-0.410,-0.959,1.051
0.090,-0.107,-0.437,-0.946,1.047
0.100,-0.102,-0.468,-0.913,1.031
0.110,-0.111,-0.475,-0.847,0.977
0.120,-0.102,-0.481,-0.793,0.933
0.130,-0.147,-0.483,-0.778,0.927
0.140,-0.153,-0.494,-0.777,0.933
0.149,-0.127,-0.505,-0.763,0.923
0.159,-0.131,-0.490,-0.763,0.917
0.169,-0.142,-0.486,-0.773,0.924
0.179,-0.135,-0.483,-0.778,0.926
0.189,-0.109,-0.482,-0.793,0.934
0.199,-0.078,-0.489,-0.819,0.957
0.209,-0.065,-0.488,-0.840,0.973
0.219,-0.064,-0.474,-0.844,0.970
0.229,-0.067,-0.465,-0.837,0.960
0.239,-0.074,-0.462,-0.825,0.948
0.249,-0.073,-0.458,-0.819,0.941
0.259,-0.063,-0.461,-0.821,0.944
0.269,-0.051,-0.467,-0.830,0.954
0.279,-0.049,-0.470,-0.844,0.968
0.289,-0.054,-0.478,-0.862,0.987
0.299,-0.057,-0.486,-0.881,1.008
0.309,-0.067,-0.490,-0.894,1.022
0.319,-0.078,-0.494,-0.909,1.037
0.329,-0.085,-0.501,-0.915,1.047
0.339,-0.093,-0.504,-0.911,1.045
0.349,-0.104,-0.503,-0.898,1.034
0.359,-0.118,-0.502,-0.880,1.020
0.369,-0.124,-0.500,-0.865,1.006
0.379,-0.129,-0.500,-0.859,1.002
0.389,-0.135,-0.498,-0.859,1.002
0.399,-0.138,-0.483,-0.852,0.989
0.409,-0.123,-0.479,-0.848,0.982
0.419,-0.096,-0.496,-0.846,0.986
0.429,-0.085,-0.512,-0.834,0.983
0.439,-0.048,-0.494,-0.798,0.940
0.449,-0.033,-0.525,-0.779,0.940
0.458,-0.044,-0.524,-0.779,0.940
0.468,-0.046,-0.499,-0.798,0.942
0.478,-0.063,-0.483,-0.828,0.960
0.488,-0.060,-0.480,-0.845,0.973
0.498,-0.036,-0.472,-0.857,0.979
0.508,-0.039,-0.464,-0.866,0.983
0.518,-0.040,-0.465,-0.850,0.970
0.528,-0.028,-0.479,-0.811,0.942
0.538,-0.028,-0.486,-0.783,0.922
0.548,-0.047,-0.481,-0.774,0.912
0.558,-0.062,-0.478,-0.778,0.915
0.568,-0.075,-0.478,-0.794,0.930
0.578,-0.077,-0.481,-0.812,0.947
0.588,-0.073,-0.483,-0.811,0.946
0.598,-0.070,-0.489,-0.774,0.919
0.608,-0.073,-0.496,-0.734,0.889
0.618,-0.075,-0.506,-0.714,0.878
0.628,-0.067,-0.515,-0.714,0.883
0.638,-0.056,-0.515,-0.730,0.896
0.648,-0.060,-0.509,-0.752,0.910
0.658,-0.071,-0.500,-0.755,0.908
0.668,-0.077,-0.490,-0.749,0.898
0.678,-0.080,-0.483,-0.752,0.898
0.688,-0.077,-0.487,-0.765,0.910
0.698,-0.069,-0.484,-0.792,0.931
0.708,-0.079,-0.475,-0.833,0.962
0.718,-0.089,-0.478,-0.866,0.993
0.728,-0.099,-0.476,-0.889,1.013
0.738,-0.125,-0.463,-0.898,1.018
0.748,-0.146,-0.456,-0.882,1.003
0.758,-0.143,-0.464,-0.845,0.975
0.768,-0.119,-0.475,-0.795,0.934
0.778,-0.099,-0.477,-0.751,0.895
0.788,-0.082,-0.473,-0.728,0.872
0.797,-0.065,-0.461,-0.734,0.869
0.808,-0.050,-0.438,-0.754,0.873
0.818,-0.036,-0.410,-0.779,0.881
0.827,-0.027,-0.382,-0.814,0.899
0.837,-0.021,-0.357,-0.837,0.910
0.847,-0.009,-0.336,-0.859,0.923
0.857,0.015,-0.327,-0.884,0.942
0.867,0.040,-0.324,-0.912,0.968
0.877,0.066,-0.322,-0.948,1.003
0.887,0.095,-0.327,-0.976,1.034
0.897,0.108,-0.324,-1.007,1.063
0.907,0.118,-0.328,-1.034,1.091
0.917,0.145,-0.341,-1.057,1.120
0.927,0.158,-0.351,-1.048,1.117
0.937,0.155,-0.352,-1.005,1.076
0.947,0.146,-0.343,-0.937,1.008
0.957,0.135,-0.330,-0.847,0.919
0.967,0.123,-0.311,-0.754,0.825
0.977,0.110,-0.284,-0.683,0.748
0.987,0.099,-0.267,-0.642,0.702
0.997,0.085,-0.268,-0.623,0.684
1.007,0.055,-0.281,-0.629,0.691
1.017,0.021,-0.298,-0.666,0.730
1.027,0.018,-0.313,-0.737,0.801
1.037,0.025,-0.317,-0.833,0.892
1.047,0.024,-0.321,-0.927,0.981
1.057,0.011,-0.330,-1.000,1.053
1.067,0.005,-0.339,-1.064,1.117
1.077,0.031,-0.344,-1.108,1.161
1.087,0.067,-0.340,-1.118,1.171
